lambda0r,Effective_mode_index,Propagation_constant
1.2E-6,3.3292375696908967,1.7431847151660096E7
1.205E-6,3.325981149285012,1.7342536007588267E7
1.2099999999999998E-6,3.3228240236727737,1.725447858172242E7
1.215E-6,3.3197606262687267,1.716763060932096E7
1.22E-6,3.316785831394253,1.7081950822030984E7
1.225E-6,3.313894908325315+4.2154000112773666E-16i,1.6997400651042335E7
1.2299999999999999E-6,3.311083481371085,1.69139439682893E7
1.235E-6,3.308347495021121,1.6831546859725583E7
1.24E-6,3.305683183379383,1.6750177425806435E7
1.245E-6,3.3030870432458936,1.6669805605187034E7
1.2499999999999999E-6,3.3005558103188455+8.843673390479649E-16i,1.6590403018337268E7
1.2549999999999998E-6,3.2980864380781423+3.0997484705654127E-15i,1.6511942828319393E7
1.26E-6,3.295676078987797+7.981587775963915E-15i,1.6434399616443936E7
1.265E-6,3.29332206770797+1.8718810397603915E-14i,1.6357749270856135E7
1.27E-6,3.29102190605865+4.2140900977955465E-14i,1.6281968886420367E7
1.2749999999999999E-6,3.2887732495155735+8.582174117813439E-14i,1.6207036674510993E7
1.28E-6,3.2865738950506356+1.616306893986269E-13i,1.6132931881517293E7
1.285E-6,3.2844217701563068+2.868138873474247E-13i,1.6059634715040367E7
1.29E-6,3.282314922916061+4.802222001534614E-13i,1.5987126276901154E7
1.2949999999999999E-6,3.28025151300199+7.602384255222207E-13i,1.5915388502199002E7
1.2999999999999998E-6,3.27822980349594+1.1383514172159775E-12i,1.5844404103756858E7
1.305E-6,3.2762481534442305+1.599476533960893E-12i,1.5774156521375505E7
1.31E-6,3.274305011069296+2.103454107591753E-12i,1.5704629875400834E7
1.315E-6,3.2723989075656124+2.529476505616808E-12i,1.563580892414204E7
1.32E-6,3.270528451425077+2.6657046631037087E-12i,1.5567679024777913E7
1.325E-6,3.26869232323431+2.15382131111448E-12i,1.5500226097386055E7
1.33E-6,3.2668892708990964+4.2974052072649455E-13i,1.5433436591801377E7
1.335E-6,3.265118105254466-3.3200755405096716E-12i,1.536729745703439E7
1.3399999999999999E-6,3.2633776960233503-1.0213284425698841E-11i,1.530179611300857E7
1.345E-6,3.2616669680906463-2.169183583396313E-11i,1.5236920424401587E7
1.35E-6,3.2599848980646007-3.9487922883334176E-11i,1.5172658676405067E7
1.355E-6,3.258330511098435-6.548128405796267E-11i,1.5108999552227776E7
1.36E-6,3.256702877949492-1.0137073927407721E-10i,1.5045932112192443E7
1.365E-6,3.255101112255064-1.4805608645470918E-10i,1.498344577428934E7
1.37E-6,3.2535243680048542-2.0462849028322547E-10i,1.4921530296057554E7
1.375E-6,3.2519718371951627-2.6700609122741133E-10i,1.4860175757691963E7
1.38E-6,3.250442747646758-3.2675330521976966E-10i,1.4799372546262719E7
1.3849999999999999E-6,3.2489363609760793-3.7159444245365824E-10i,1.473911134097214E7
1.39E-6,3.2474519707059986-3.8967533443456347E-10i,1.4679383099360662E7
1.395E-6,3.245988900508029-3.767000564635632E-10i,1.4620179044401482E7
1.4E-6,3.2445465025637787-3.387050985218881E-10i,1.456149065240689E7
1.4049999999999999E-6,3.2431241560300776-2.837855321346218E-10i,1.4503309641656497E7
1.41E-6,3.2417212655990046-2.0884547693850463E-10i,1.4445627961690268E7
1.415E-6,3.2403372601486695-9.369780499787374E-11i,1.4388437783231571E7
1.42E-6,3.238971591485105+9.013731015545135E-11i,1.4331731488726262E7
1.425E-6,3.2376237331874553+3.4310140885415184E-10i,1.427550166353638E7
1.4299999999999999E-6,3.2362931795691185+5.82935534180933E-10i,1.4219741087828109E7
1.435E-6,3.234979444637383+7.179721422630167E-10i,1.4164442728622705E7
1.44E-6,3.2336820609441457+8.121945401090819E-10i,1.4109599731537817E7
1.445E-6,3.2324005786781065+9.757192396646893E-10i,1.4055205413750224E7
1.4499999999999999E-6,3.2311345649436336+1.2376573116107387E-9i,1.4001253257913064E7
1.455E-6,3.2298836029683713+1.5740251670076187E-9i,1.3947736905890813E7
1.46E-6,3.2286472913139304+1.9472759278870856E-9i,1.3894650152636202E7
1.465E-6,3.227425243141167+2.3231487790534003E-9i,1.384198694042668E7
1.47E-6,3.2262170855267494+2.677933381166089E-9i,1.3789741353437698E7
1.4749999999999999E-6,3.225022458820539+3.001731976440938E-9i,1.3737907612600265E7
1.48E-6,3.2238410144369176+5.656688358085099E-15i,1.368648006391417E7
1.485E-6,3.2226724203025814+9.413090590682425E-15i,1.3635453199392628E7
1.49E-6,3.221516351780175+1.0001704761017158E-14i,1.3584821616338242E7
1.4949999999999999E-6,3.2203724965970952+6.963137634133152E-15i,1.3534580036297066E7
1.5E-6,3.2192405530550348-1.1001379356959086E-15i,1.3484723295488054E7
1.505E-6,3.2181202295744007-1.178400929287892E-14i,1.3435246340996195E7
1.51E-6,3.217011244262498-2.2703095856292147E-14i,1.3386144227140164E7
1.515E-6,3.21591332450231-2.943524910971815E-14i,1.333741211199734E7
1.5199999999999998E-6,3.214826206565057-2.6561171885302814E-14i,1.3289045254095692E7
1.525E-6,3.2137496352417947-5.990260388645106E-15i,1.324103900924918E7
1.53E-6,3.2126833634918053+3.930675976070697E-14i,1.3193388827524185E7
1.535E-6,3.211627152112091+1.1939805801035363E-13i,1.3146090250351602E7
1.54E-6,3.2105807694198494+2.4511015427421397E-13i,1.3099138907748133E7
1.545E-6,3.2095439909535752+4.2801842255387635E-13i,1.3052530515667336E7
1.55E-6,3.2085165991863507+6.821057267041842E-13i,1.3006260873451283E7
1.555E-6,3.2074983832544137+1.0222362932307553E-12i,1.2960325861393189E7
1.5599999999999999E-6,3.2064891386986982+1.4651726462005535E-12i,1.2914721438399093E7
1.5649999999999998E-6,3.205488667217983+2.030200395508997E-12i,1.2869443639741028E7
1.57E-6,3.2044967764346906+2.739534794495496E-12i,1.2824488574903691E7
1.575E-6,3.2035132796707444+3.618235296857966E-12i,1.2779852425512325E7
1.58E-6,3.202537995733688+4.69762278737952E-12i,1.2735531443340676E7
1.585E-6,3.201570748714651+6.014843579308922E-12i,1.2691521948403684E7
1.59E-6,3.2006113677923262+7.616739127829041E-12i,1.2647820327109875E7
1.595E-6,3.1996596870491256+9.562597984230652E-12i,1.2604423030496487E7
1.6E-6,3.1987155452921594+1.1925514433611667E-11i,1.2561326572516646E7
1.6049999999999999E-6,3.1977787858865683+1.4800041207505654E-11i,1.2518527528406892E7
1.6099999999999998E-6,3.19684925659142+1.830368112115711E-11i,1.2476022533095151E7
1.615E-6,3.1959268094069584+2.258618283564837E-11i,1.2433808279682435E7
1.62E-6,3.1950113004249783+2.7835221818353547E-11i,1.2391881517964795E7
1.625E-6,3.194102589689323+3.4286200229674286E-11i,1.2350239053021673E7
1.63E-6,3.1932005410587423+4.2232920995997556E-11i,1.2308877743839381E7
1.635E-6,3.192305022078446+5.204253902785667E-11i,1.2267794501993207E7
1.64E-6,3.191415903855709+6.417180044426228E-11i,1.2226986290369177E7
1.645E-6,3.1905330609408398+7.918465310581705E-11i,1.2186450121929603E7
1.6499999999999999E-6,3.1896563712135633+9.777954016511593E-11i,1.2146183058521707E7
1.6549999999999998E-6,3.1887857157734585+1.2081728806543936E-10i,1.2106182209723223E7
1.66E-6,3.187920978835458+1.4935576189622382E-10i,1.206644473172802E7
1.665E-6,3.187062047630631+1.8469340704313253E-10i,1.2026967826271754E7
1.6699999999999999E-6,3.1862088123075933+2.2841803469883086E-10i,1.1987748739579156E7
1.675E-6,3.1853611658426573+2.8247099595873184E-10i,1.1948784761362998E7
1.68E-6,3.184519003949561+3.4921794535513305E-10i,1.1910073223839317E7
1.685E-6,3.1836822249950987+4.3153941787602553E-10i,1.1871611500782207E7
1.69E-6,3.1828507299179285+5.329361140029365E-10i,1.183339700660719E7
1.6949999999999999E-6,3.1820244221493805+6.576577108036113E-10i,1.179542719547823E7
1.6999999999999998E-6,3.1812032075385845+8.108545031742795E-10i,1.1757699560446477E7
